price,living_area,type_of_house,year_of_construction,number_of_rooms,balcony,garden,interior,latitude,longitude
"€1,900 per month",51 m²,Flat,1902,2,Present,,Upholstered or furnished,52.36560276739,4.9327987100784
"€2,600 per month",122 m²,House,2000,4,Present,Present,,52.419442182914,4.9019205731096
"€1,850 per month",40 m²,Flat,1960,2,Not present,"Present (38 m², located on the south)",,52.325821345502,4.8772437523907
"€2,400 per month",68 m²,Flat,1963,3,Present,Not present,,52.333920016513,4.8753167967441
"€2,750 per month",122 m²,Flat,,4,Present,Not present,Furnished,52.367383041904,4.8798641124873
"€2,600 per month",75 m²,Flat,2016,3,Not present,Not present,Furnished,52.367642381615,4.9260666472179
"€2,350 per month",60 m²,Flat,1935,3,Present,Not present,Furnished,52.361145228119,4.8512347651169
"€3,250 per month",115 m²,Flat,2017,2,Present,Not present,Furnished,52.350869492412,4.836931097928
"€2,650 per month",95 m²,Flat,,3,Not present,Present,Upholstered,52.345449895315,4.8875992731956
"€1,650 per month",50 m²,Studio,2013,2,Present,Not present,,52.394355011095,4.8749323646205
"€2,350 per month",65 m²,Flat,2005,2,Not present,Not present,,52.325571646288,4.8572382585771
"€2,650 per month",70 m²,House,1790,3,Not present,,Furnished,52.361231104758,4.9024252166585
"€2,000 per month",73 m²,Flat,,4,Present,Not present,Furnished,52.333859795938,4.8717963025254
"€3,650 per month",120 m²,Flat,1929,5,Present,Not present,Furnished,52.345254577633,4.9121973741828
"€2,400 per month",67 m²,Flat,,3,Present,Not present,Furnished,52.336454677945,4.8752601689661
"€2,250 per month",80 m²,Flat,2016,2,,,,52.383526798747,4.875240831295
"€2,350 per month",40 m²,Flat,2020,1,Not present,Not present,Furnished,52.341840317874,4.8006163793682
"€2,150 per month",51 m²,Flat,1900,3,Present,Not present,,52.362297530433,4.865740393378
"€1,800 per month",70 m²,Flat,1971,3,Not present,Not present,,52.318424301438,4.9803924656983
"€1,995 per month",54 m²,Flat,1741,2,Not present,,Upholstered,52.367118469539,4.8888149697091
"€1,800 per month",40 m²,Flat,1005,2,Not present,,Upholstered,52.381807153573,4.8901859509282
"€1,850 per month",67 m²,Flat,1984,3,Present,,Upholstered,52.406710339057,4.8984301699119
"€3,750 per month",92 m²,Flat,,3,Not present,Not present,Furnished,52.339408845871,4.9152889468676
"€2,750 per month",80 m²,Flat,1890,2,Not present,,Upholstered,52.352695540724,4.8916135318419
"€2,600 per month",105 m²,Flat,1988,3,Not present,,Upholstered,52.327928769007,4.888793908625
"€2,750 per month",51 m²,Flat,1928,3,Present,Not present,Furnished,52.360657025602,4.8565843646435
"€2,150 per month",65 m²,Flat,1778,2,Present,Not present,Furnished,52.374075228272,4.9049937652793
"€6,950 per month",167 m²,Flat,1803,4,Present,Present (54 m²),Furnished,52.360940328131,4.9060544880435
"€2,750 per month",84 m²,Flat,2023,3,Present,Not present,Upholstered,52.372736466675,4.9284925689785
"€1,875 per month",46 m²,Flat,,2,Not present,Not present,Furnished,52.375654031013,4.8846156987135
"€2,950 per month",84 m²,Flat,Before 1906,3,Not present,Not present,,52.358117338578,4.9014463396807
"€5,950 per month",157 m²,Flat,1920,6,Not present,Not present,Upholstered or furnished,52.379009559503,4.8811263325799
"€3,000 per month",100 m²,Flat,1974,3,Not present,Not present,Furnished,52.362936653068,4.8439752624151
"€3,250 per month",113 m²,Flat,1926,3,Not present,Present (17 m²),Upholstered,52.371409901862,4.8553691181998
"€3,250 per month",113 m²,Flat,1926,3,Not present,Present (30 m²),Upholstered,52.371454838113,4.8553685794192
"€2,250 per month",65 m²,Flat,1906,2,Present,Not present,Furnished,52.3617400272,4.8595956691832
"€2,650 per month",88 m²,Flat,1999,3,Present,,Furnished,52.380743571289,4.8894635155464
"€2,300 per month",72 m²,Flat,1907,2,,,,52.360156591265,4.8632845792023
"€2,150 per month",73 m²,Flat,1958,4,Not present,,Furnished,52.352615808596,4.9259010260402
"€3,200 per month",143 m²,House,2019,5,Not present,"Present (13 m², located on the north-east)",Furnished,52.363001762747,4.9879519354466
"€2,850 per month",79 m²,Flat,1750,3,Not present,Not present,Furnished,52.374291819825,4.8822902155453
"€3,750 per month",220 m²,House,1997,5,Not present,"Present (15 m², located on the south-west)",Furnished,52.375010440778,4.9488413356698
"€2,250 per month",62 m²,Flat,1897,2,Not present,,Upholstered,52.355480210669,4.8708406422698
"€2,058 per month",80 m²,Flat,2018,3,Not present,Not present,Upholstered,52.339333055211,4.9195235523249
"€2,150 per month",50 m²,Flat,1906,3,Present,Not present,Furnished,52.384203400453,4.8704768074822
"€3,950 per month",115 m²,Flat,1929,4,Not present,Not present,Furnished,52.349056834881,4.8777253308055
"€2,250 per month",45 m²,Flat,1936,2,Not present,Not present,Furnished,52.380285041621,4.8915688978422
"€2,250 per month",60 m²,Flat,1984,3,Present,,Furnished,52.365803389652,4.8679308789685
"€2,250 per month",65 m²,Flat,,3,Not present,Not present,Furnished,52.363048399855,4.8507419732488
"€2,350 per month",75 m²,Flat,1998,3,Present,Not present,Furnished,52.358107609047,4.9376610026571
"€2,150 per month",55 m²,Flat,1740,2,Not present,Not present,Furnished,52.371320790472,4.8843417482282
"€3,500 per month",88 m²,Flat,1896,4,Not present,Present (25 m²),Furnished,52.363136632625,4.8747154900161
"€2,750 per month",65 m²,Flat,1985,2,Not present,"Present (80 m², located on the east)",Furnished,52.368755391764,4.8813167330731
"€2,250 per month",60 m²,Flat,1759,2,Not present,Not present,Furnished,52.372324558,4.8836695737791
"€1,300 per month",50 m²,House,2006,1,Not present,,,52.320200656635,4.9808283404955
"€2,250 per month",50 m²,Flat,,2,Not present,Not present,Upholstered,52.352874178727,5.0033091782452
"€3,200 per month",104 m²,Flat,,4,Present,Not present,Upholstered,52.350970021803,4.7986550902029
"€4,000 per month",133 m²,House,,5,Present,Not present,Furnished,52.360575644768,4.7957933704352
"€2,740 per month",110 m²,Flat,2022,4,,Not present,,52.402151877573,4.8907191257833
"€2,950 per month",107 m²,Flat,,3,Not present,Present,Furnished,52.318011027745,4.9539210457697
"€2,295 per month",127 m²,Flat,1969,4,Not present,Not present,Upholstered,52.327566302333,4.8859667577437
"€2,100 per month",73 m²,Flat,1698,2,Not present,,Furnished,52.377561312432,4.8936113273362
"€2,250 per month",49 m²,Flat,1879,2,Not present,,Upholstered or furnished,52.374223964559,4.8886262122504
"€3,250 per month",110 m²,Flat,1875,3,Present,,Furnished,52.361398844873,4.8929983728478
"€3,500 per month",160 m²,Flat,1932,6,Present,Not present,Upholstered,52.344693777453,4.8705845571286
"€1,850 per month",67 m²,Flat,1914,3,Present,Not present,Furnished,52.366129624153,4.9295779039116
"€2,750 per month",80 m²,Flat,1912,3,Not present,,Upholstered,52.351956566373,4.8578044731262
"€2,375 per month",62 m²,Flat,1913,3,Present,Not present,Furnished,52.351288603796,4.8538783104256
"€2,500 per month",75 m²,Flat,1904,3,Not present,Present (40 m²),Furnished,52.351736433854,4.8928564476521
"€2,700 per month",110 m²,Flat,1993,4,,Not present,Furnished,52.377482884136,4.9442348721159
"€3,200 per month",116 m²,Flat,1928,4,Present,,Upholstered or furnished,52.360574642354,4.8542511547528
"€2,200 per month",115 m²,Flat,1922,3,Not present,Not present,Furnished,52.324978482164,4.8572453358467
"€1,925 per month",50 m²,Flat,2016,2,Present,Not present,Upholstered,52.340869872246,4.9006542491949
"€2,600 per month",90 m²,Flat,1905,3,Present,,Upholstered,52.368282977348,4.8703129074078
"€8,250 per month",323 m²,House,1879,7,Not present,"Present (71 m², located on the north)",,52.36093220203,4.8720837678156
"€2,700 per month",95 m²,Flat,,3,Not present,Not present,Furnished,52.339931782737,4.894117754905
"€1,495 per month",27 m²,Studio,1906,2,Not present,Not present,Furnished,52.376218263742,4.8778392315251
"€2,500 per month",100 m²,Flat,1990,3,Not present,Not present,Furnished,52.348198515202,5.0115432995205
"€1,950 per month",51 m²,Flat,1887,3,Not present,Not present,Upholstered,52.374083391244,4.8746477504251
"€7,000 per month",221 m²,House,2018,7,Present,"Present (75 m², located on the north)",Furnished,52.338549193385,4.9175707601285
"€1,800 per month",65 m²,Flat,1956,4,Present,Not present,,52.3782512291,4.839954544934
"€2,000 per month",65 m²,Flat,1927,3,Present,Not present,,52.359568200333,4.854292603336
"€3,800 per month",88 m²,Flat,2016,3,Present,Not present,Upholstered,52.336446417024,4.8700551453151
"€1,950 per month",58 m²,Flat,1925,2,Not present,Not present,,52.347646663666,4.8992714455885
"€9,500 per month",235 m²,House,1934,8,Not present,Present,Upholstered,52.345579058667,4.8757547034478
"€1,950 per month",93 m²,Flat,2000,4,Present,Not present,Upholstered,52.379513304549,4.8235191632606
"€2,200 per month",80 m²,Flat,1960,3,,,Furnished,52.34208140875,4.877511894376
"€2,200 per month",96 m²,Flat,2007,3,Not present,Not present,,52.351680287478,4.799918893541
"€2,250 per month",74 m²,Flat,1997,3,Not present,,Furnished,52.384613011582,4.8675490386306
"€1,995 per month",70 m²,Flat,1915,2,Present,Not present,Upholstered,52.362732918839,4.9367773192717
"€2,700 per month",113 m²,Flat,1931,5,Present,,Furnished,52.353902617372,4.8515717659505
"€3,800 per month",93 m²,Flat,,3,Not present,Not present,Furnished,52.336506822961,4.8717090298053
"€1,975 per month",60 m²,House,2006,2,Not present,Present (40 m²),Upholstered,52.361480959082,4.9807439697825
"€2,750 per month",60 m²,Flat,2019,3,Present,,Upholstered or furnished,52.35895535023,4.8964810875985
"€2,250 per month",60 m²,Flat,1900,2,Not present,Present (49 m²),Upholstered,52.353985083446,4.8479599094275
"€2,250 per month",97 m²,Flat,1993,4,Present,,Furnished,52.345928907312,4.8166225316918
"€4,500 per month",175 m²,Flat,1913,5,Not present,,Upholstered,52.354757326882,4.8658583516773
"€4,250 per month",120 m²,Flat,1750,3,Not present,,Furnished,52.361878961885,4.8922371661608
"€2,700 per month",90 m²,Flat,,3,Not present,Present,Furnished,52.362400904093,4.8867998571605
"€2,690 per month",168 m²,Flat,2008,3,Not present,Not present,Upholstered,52.33691235596,4.8710419112289
"€2,700 per month",85 m²,Flat,1997,4,Present,Not present,Upholstered,52.366735238315,4.8713850410061
"€2,995 per month",87 m²,Flat,1985,3,Not present,Not present,,52.366741095658,4.898180505736
"€1,950 per month",60 m²,Flat,1984,2,Present,,Furnished,52.368673128851,4.9226506170091
"€2,950 per month",110 m²,Flat,1930,5,Present,"Present (20 m², located on the south)",,52.345041470425,4.8617753173684
"€7,500 per month",250 m²,Flat,,4,Present,Not present,Furnished,52.385955548744,4.9028239657756
"€1,350 per month",37 m²,Studio,,1,Present,Not present,Furnished,52.378994379886,4.8571139846243
"€1,750 per month",45 m²,Flat,,2,Not present,Not present,Furnished,52.375848652669,4.8959954562119
"€2,800 per month",87 m²,Flat,1909,3,Present,Not present,Upholstered,52.352758538906,4.9009325554835
"€2,990 per month",105 m²,Flat,,3,Present,Not present,Furnished,52.35757123042,4.8559166487682
"€1,600 per month",55 m²,Flat,1973,4,Not present,Not present,,52.399810981722,4.9473912177119
"€2,100 per month",45 m²,Flat,1826,3,Present,Not present,Upholstered,52.371601611947,4.9065115295963
"€2,250 per month",65 m²,Flat,1903,2,Not present,"Present (60 m², located on the north-west)",Furnished,52.362681237181,4.8610525932691
"€2,350 per month",60 m²,Flat,1891,3,Present,Not present,Furnished,52.356060562173,4.8952596631016
"€2,350 per month",60 m²,Flat,1725,3,Not present,,Furnished,52.37002060021,4.8957656167704
"€2,500 per month",71 m²,Flat,1700,2,Not present,Not present,,52.369631092042,4.8864606344698
"€1,900 per month",60 m²,Flat,1932,3,Not present,,Upholstered,52.374229860861,4.8489179612582
"€2,500 per month",100 m²,Flat,2006,3,Not present,Not present,Furnished,52.315931034529,4.9455965880742
"€2,000 per month",98 m²,Flat,2004,4,Present,Not present,Furnished,52.317709370368,4.95499462069
"€6,950 per month",114 m²,Flat,1997,4,Not present,Not present,Upholstered or furnished,52.375413557255,4.883017719827
"€1,900 per month",84 m²,Flat,1968,4,Present,Not present,Upholstered,52.399816764471,4.9513877607186
"€3,000 per month",105 m²,Flat,2021,3,Not present,Not present,Furnished,52.369532048028,4.9537611351799
"€2,000 per month",50 m²,Flat,,2,Present,Not present,Furnished,52.386801587106,4.835278134708
"€2,650 per month",80 m²,Flat,,3,Not present,"Present (45 m², located on the south-east)",Furnished,52.346056362866,4.8476306345469
"€2,500 per month",85 m²,Flat,,3,Present,Not present,Upholstered,52.395988700042,4.9049959349952
"€2,750 per month",80 m²,Flat,,3,Present,Not present,Upholstered,52.346654334356,4.8546384323987
"€2,750 per month",80 m²,Flat,,3,Not present,"Present (70 m², located on the south-west)",Upholstered,52.326704116035,4.8572394153084
"€1,995 per month",133 m²,Flat,2007,3,Not present,Not present,Upholstered,52.358206310844,4.9904184394155
"€2,350 per month",87 m²,Flat,1964,3,Not present,Not present,Upholstered,52.327593783761,4.883971390656
"€2,000 per month",55 m²,Flat,1889,2,Not present,,Furnished,52.363762723651,4.9105604570965
"€2,250 per month",71 m²,Flat,1891,2,Not present,"Present (67 m², located on the south)",Upholstered,52.35364529886,4.8930443785667
"€2,250 per month",70 m²,Flat,,3,Present,Not present,Upholstered,52.363880337291,4.9359875521843
"€2,350 per month",70 m²,Flat,1906-1930,3,Present,,Upholstered or furnished,52.363562557812,4.9265676671223
"€3,800 per month",91 m²,Flat,1902,3,Present,Not present,,52.354769662596,4.8727864762415
"€1,950 per month",55 m²,Flat,1905,1,Present,,Upholstered or furnished,52.383558518492,4.873054734208
"€1,850 per month",58 m²,Flat,1950,2,Present,Not present,,52.384690889531,4.8709705334884
"€2,100 per month",57 m²,Flat,1927,3,Present,Not present,Upholstered,52.370996856122,4.8494858163449
"€3,500 per month",140 m²,Flat,1927,4,Not present,Present (200 m²),Furnished,52.370581369939,4.8610323080522
"€2,100 per month",90 m²,Flat,2006,3,Present,,Furnished,52.360318303437,4.990384875287
"€2,750 per month",133 m²,House,1997,6,Not present,Present,Furnished,52.320932091681,4.9613581978584
"€2,750 per month",90 m²,Flat,1750,3,Not present,,Furnished,52.36480926433,4.9048820307042
"€2,250 per month",60 m²,Flat,,2,Present,Not present,Furnished,52.363120507781,4.8628238223388
"€1,795 per month",80 m²,Flat,1960,4,Present,Not present,Furnished,52.355597113915,4.810509245903
"€6,000 per month",241 m²,Flat,Before 1906,8,Not present,Not present,Upholstered,52.355176530769,4.8795926604701
"€2,155 per month",50 m²,Flat,1906-1930,3,Not present,Present (30 m²),Upholstered,52.368083789874,4.8512390337343
"€2,995 per month",85 m²,Flat,1925,3,Not present,,Furnished,52.35082404072,4.864214440301
"€2,000 per month",50 m²,Flat,2005,2,Not present,,Upholstered or furnished,52.32082842476,4.9696106959069
"€2,295 per month",64 m²,Flat,1910,2,Not present,Not present,Upholstered or furnished,52.383910487324,4.8733884812117
"€8,500 per month",313 m²,House,1920,7,Not present,"Present (16 m², located on the east)",Upholstered or furnished,52.370802914205,4.8872697007071
"€1,728 per month",35 m²,Flat,1900,2,Not present,Not present,Furnished,52.354841261518,4.8916769373774
"€2,250 per month",65 m²,Flat,1930,3,Not present,Not present,Upholstered,52.379816262642,4.8933806142317
"€1,450 per month",25 m²,Studio,,1,Not present,Not present,Furnished,52.354035463848,4.9010947038206
"€2,500 per month",75 m²,Flat,1906-1930,3,Present,Not present,Furnished,52.355607532736,4.8943839576343
"€1,975 per month",71 m²,Flat,1905,3,Not present,Not present,,52.378991011271,4.8788941893727
"€3,350 per month",101 m²,Flat,1771,3,Not present,Not present,Furnished,52.371180785337,4.8865848995459
"€2,350 per month",75 m²,Flat,1892,3,Present,Not present,Upholstered,52.353770999262,4.8979858269862
"€1,975 per month",93 m²,Flat,2000,2,Present,,Upholstered,52.302879666026,4.9675129672117
"€2,500 per month",70 m²,Flat,1911,3,Not present,Not present,Upholstered,52.382843418805,4.8718879994384
"€2,500 per month",65 m²,Flat,Before 1906,3,Not present,Not present,,52.353484888999,4.8917744549821
"€2,550 per month",65 m²,Flat,1771,2,Present,Not present,Furnished,52.365255242864,4.8846160470162
"€2,450 per month",72 m²,Flat,1924,3,Not present,"Present (35 m², located on the south-west)",Upholstered,52.367485296777,4.8520538165169
"€2,975 per month",69 m²,Flat,,4,Present,Not present,Furnished,52.349197203479,4.8485317633834
"€2,150 per month",40 m²,Flat,1749,2,Present,,Upholstered,52.374502613785,4.8901598116555
"€2,950 per month",84 m²,Flat,1845,2,Present,Not present,Upholstered or furnished,52.36821043831,4.8799867968725
"€2,800 per month",95 m²,Flat,1950,4,Present,Not present,,52.361653865826,4.864485407653
"€2,250 per month",90 m²,House,1986,3,Not present,Not present,Furnished,52.393085551602,4.9925597256362
"€3,500 per month",100 m²,Flat,,3,Not present,Not present,Furnished,52.357688754714,4.8785803974929
"€1,950 per month",60 m²,Flat,2021,2,Present,Not present,Furnished,52.373286032768,4.8386236247794
"€2,250 per month",83 m²,Flat,1975,3,Not present,Present (60 m²),Furnished,52.371459518549,4.9181428129602
"€2,450 per month",70 m²,Flat,1717,4,,,Upholstered,52.372114617919,4.8914252463842
"€2,750 per month",85 m²,Flat,2006,3,Present,Not present,Furnished,52.361167505099,4.9088853837167
"€3,450 per month",92 m²,Flat,1900,4,Present,Not present,,52.365398090575,4.8759960692598
"€2,250 per month",67 m²,Flat,1926,3,Present,,Furnished,52.366120967247,4.8584570782613
"€3,750 per month",100 m²,Flat,,2,Not present,Not present,Furnished,52.378629205333,4.8804550974379
"€2,500 per month",63 m²,Flat,1648,1,Present,"Present (25 m², located on the north-east)",Upholstered or furnished,52.367946370793,4.8849032233272
"€2,835 per month",140 m²,Flat,2017,4,Not present,Not present,Shell,52.339054253782,4.9186189165052
"€2,150 per month",70 m²,Flat,1953,3,Present,Not present,Furnished,52.35170209814,4.9455489629677
"€7,500 per month",284 m²,Flat,1923,7,Present,,Upholstered,52.352652283399,4.8674682860399
"€1,950 per month",65 m²,Flat,1923,2,Present,,Upholstered,52.369158260677,4.8623706858023
"€3,000 per month",71 m²,Flat,,3,Not present,Not present,Upholstered,52.363165357017,4.8963407121015
"€2,795 per month",110 m²,Flat,1780,3,Not present,Not present,Furnished,52.379768398159,4.8905319097633
"€2,250 per month",70 m²,Flat,,3,Present,Not present,Upholstered,52.346046001835,4.8572726748517
"€1,655 per month",35 m²,Flat,1988,1,Present,Not present,Furnished,52.376075823959,4.879125224268
"€3,350 per month",110 m²,Flat,1800,3,Not present,Not present,Furnished,52.377647126278,4.8862232688576
"€2,150 per month",67 m²,Flat,2002,2,Present,Not present,Upholstered or furnished,52.36872838866,4.9027984669016
"€1,950 per month",75 m²,Flat,1917,4,Not present,Not present,,52.384800153006,4.922419140255
"€2,500 per month",63 m²,Flat,1906,3,Not present,Not present,,52.354143406968,4.8713846158932
"€2,500 per month",67 m²,Flat,1905,2,Present,Not present,,52.366278645724,4.8864544269239
"€2,250 per month",70 m²,Flat,1884,3,Present,Not present,Furnished,52.354605674426,4.8890814800768
"€3,700 per month",96 m²,Flat,1901,4,Present,Not present,Upholstered,52.370852049312,4.871484007993
"€2,950 per month",80 m²,Flat,1905,3,Not present,"Present (20 m², located on the north-east)",Upholstered,52.369882311489,4.8675009483884
"€1,850 per month",50 m²,Flat,2006,2,,,Furnished,52.3162762758,4.9465904272287
"€2,200 per month",75 m²,Flat,1720,2,Present,,Furnished,52.382073247325,4.885086385578
"€2,495 per month",78 m²,Flat,1717,3,Not present,Not present,Upholstered,52.366058188899,4.8938861349169
"€2,550 per month",60 m²,Flat,1900,3,Present,,Upholstered,52.352126922433,4.8873920154985
"€2,900 per month",85 m²,Flat,1935,4,Not present,"Present (40 m², located on the east)",Furnished,52.361082450193,4.8512648847278
"€1,850 per month",60 m²,Flat,,2,Present,Not present,Upholstered,52.361953814203,4.8652452817529
"€1,550 per month",37 m²,Flat,,2,Not present,Not present,Furnished,52.374054163927,4.8824898308608
"€2,100 per month",50 m²,Flat,,3,Present,Not present,Furnished,52.367063958456,4.8562874941823
"€4,500 per month",200 m²,Flat,1005,5,Not present,Not present,Upholstered,52.366666827671,4.8889901103491
"€2,500 per month",90 m²,Flat,,3,Present,Not present,Upholstered,52.363162845341,4.9411332857844
"€2,100 per month",89 m²,Studio,1671,3,Not present,Not present,Upholstered,52.367899048629,4.8848604299988
"€2,250 per month",54 m²,Flat,1932,3,Not present,Present (12 m²),Upholstered,52.391162422922,4.8772855796184
"€2,100 per month",87 m²,Flat,1965,3,Not present,,Upholstered,52.327504538304,4.8736597341697
"€2,250 per month",62 m²,Flat,1935,3,Present,,Upholstered,52.359647020135,4.8498582457622
"€3,200 per month",95 m²,Flat,1893,4,Not present,Not present,Upholstered,52.353555035365,4.9044906075581
"€4,250 per month",153 m²,Flat,1930,5,Present,Not present,Upholstered,52.356545253418,4.935695155541
"€3,300 per month",109 m²,Flat,Before 1906,4,Not present,Present,Furnished,52.37993687607,4.8899866094693
"€2,150 per month",52 m²,Flat,1906-1930,2,Not present,Not present,Furnished,52.362383841329,4.8669725879994
"€2,107 per month",67 m²,Flat,2022,3,Not present,Not present,,52.394111592499,4.9008919705379
"€2,400 per month",71 m²,Flat,2006,3,Present,Not present,Furnished,52.363566878287,4.8621431997431
"€2,400 per month",82 m²,Flat,1965,4,Present,Not present,Furnished,52.353869921505,4.8101940896704
"€2,650 per month",105 m²,Flat,1921,4,,Present (located on the north-west),Upholstered,52.352018519424,4.9202710449502
"€2,300 per month",58 m²,Flat,1930,3,Present,Not present,Upholstered or furnished,52.345174648642,4.8716209115575
"€2,200 per month",71 m²,Flat,2023,2,Present,Not present,Furnished,52.386652603798,4.8350422898317
"€2,800 per month",85 m²,Flat,1906-1930,2,Present,Not present,Furnished,52.362220230648,4.870659438116
"€3,980 per month",95 m²,Flat,1905,3,Present,,Upholstered,52.355103171979,4.864797425908
"€1,850 per month",68 m²,Flat,1971-1980,3,Present,Not present,Upholstered or furnished,52.318771123673,4.9793881082773
"€2,650 per month",67 m²,Flat,1881,3,Not present,Not present,Furnished,52.361823738325,4.9103166200815
"€2,099 per month",63 m²,Flat,1903,2,Not present,"Present (70 m², located on the south)",Upholstered,52.365242991787,4.9327289851224
"€1,343 per month",30 m²,Studio,2022,1,Not present,Not present,Furnished,52.315727800031,4.9552456848696
"€2,675 per month",75 m²,Flat,1999,3,Present,,Furnished,52.368192019348,4.8736292806102
"€3,500 per month",227 m²,House,2019,4,Not present,"Present (181 m², located on the south)",Furnished,52.396763287006,5.0090972291157
"€2,360 per month",109 m²,Flat,2006,2,Not present,Not present,Upholstered,52.375887694156,4.9265988742686
"€3,000 per month",74 m²,Flat,1906,3,Not present,Not present,Furnished,52.352408917753,4.859361466956
"€2,100 per month",76 m²,Flat,1965,3,Present,,Upholstered or furnished,52.331912576996,4.8850667876878
"€1,995 per month",70 m²,Flat,1915,2,Present,Not present,Upholstered,52.362732583689,4.9366892360239
"€2,395 per month",84 m²,Flat,1960,3,Present,Not present,Upholstered,52.383515799457,4.8357599712314
"€3,750 per month",113 m²,Flat,1906-1930,3,Not present,"Present (65 m², located on the east)",Upholstered,52.350881774529,4.863408741849
"€2,200 per month",67 m²,Flat,1906-1930,3,Not present,Not present,Upholstered,52.352972655311,4.9321794521409
"€2,750 per month",120 m²,House,2010,5,Not present,"Present (49 m², located on the north-west)",Upholstered or furnished,52.348924178359,5.0103293432448
"€2,700 per month",104 m²,Flat,1929,4,Present,Not present,,52.35509839938,4.9357392322855
"€12,500 per month",231 m²,Flat,1900,8,Not present,Present,Upholstered,52.353376031328,4.8685459881324
"€2,310 per month",101 m²,Flat,2006,3,Not present,Not present,Upholstered,52.376020332068,4.9260394471795
"€1,950 per month",46 m²,Flat,1945-1959,2,Present,Not present,,52.369460544925,4.9060208123936
"€2,057 per month",62 m²,Flat,2022,3,Not present,Not present,,52.394187565713,4.9009490071246
"€3,500 per month",85 m²,Flat,1894,2,Not present,Not present,Furnished,52.377746359042,4.8863102646693
"€2,900 per month",105 m²,Flat,1770,3,Not present,,Furnished,52.372421576746,4.9048139441915
"€2,300 per month",45 m²,Flat,1893,3,Not present,Not present,Upholstered,52.366897265157,4.871441887295
"€2,100 per month",73 m²,House,2019,3,Not present,"Present (24 m², located on the west)",Upholstered,52.40623169138,4.8992429850251
"€2,350 per month",52 m²,Flat,1879,3,Not present,,Upholstered,52.36852845331,4.92631863341
"€2,050 per month",55 m²,Flat,1985,3,Not present,Present,Furnished,52.361547445692,4.9276579451623
"€2,750 per month",100 m²,Flat,2005,2,Present,,Furnished,52.362223629179,4.9122506203257
"€3,000 per month",70 m²,Flat,,2,Not present,Not present,Furnished,52.374080611759,4.9017120730249
"€5,900 per month",185 m²,Flat,,5,,,,52.357893632861,4.8781523419284
"€1,250 per month",20 m²,Flat,1904,1,Not present,Present,Furnished,52.351893932894,4.8939848656829
"€1,950 per month",74 m²,Flat,1983,3,Not present,,Furnished,52.353528234034,4.7973991445759
"€1,710 per month",90 m²,Flat,2007,3,,Not present,,52.353623200454,4.8396124197044
"€2,800 per month",140 m²,Flat,1925,4,Present,,Furnished,52.379808468204,4.8562671035951
"€2,800 per month",110 m²,House,2000,4,,Not present,Upholstered or furnished,52.373814786031,4.94393375423
"€1,200 per month",33 m²,Flat,Before 1906,2,Not present,Not present,,52.373524217145,4.8997383845136
"€2,250 per month",54 m²,Flat,2018,2,Not present,Not present,Furnished,52.339482708808,4.9253292208021
"€2,950 per month",150 m²,House,1991-2000,1,Not present,"Present (36 m², located on the north)",Furnished,52.348851693528,4.8059003643089
"€2,950 per month",100 m²,Flat,2020,4,Present,Not present,Furnished,52.373076337498,4.8384524551054
"€2,600 per month",75 m²,Flat,1924,3,Not present,"Present (72 m², located on the south-west)",Furnished,52.350274955097,4.9045996648723
"€2,350 per month",65 m²,Flat,1893,2,Not present,"Present (4 m², located on the south-west)",Upholstered,52.364303612487,4.8869905768372
"€1,650 per month",35 m²,Flat,2019,1,Not present,,Furnished,52.37379362477,4.9674494555845
"€2,450 per month",100 m²,Flat,1923,3,Not present,Present,Upholstered,52.353170223003,4.8812155092582
"€2,650 per month",90 m²,Flat,2002,3,Present,Not present,Upholstered,52.363782449032,4.8723443062416
"€2,650 per month",126 m²,Flat,2021,4,Present,,Upholstered,52.372329811306,4.9658296096085
"€5,500 per month",158 m²,Flat,2006,4,Present,Not present,Furnished,52.346251486197,4.8529995832024
"€4,950 per month",150 m²,House,2008,4,Not present,Not present,Furnished,52.363284240359,4.985058420867
"€2,500 per month",65 m²,Flat,1780,3,Not present,,Upholstered or furnished,52.363812459584,4.8856160520143
"€3,200 per month",71 m²,Flat,1984,5,Present,,Furnished,52.325293315401,4.944799417195
"€2,300 per month",72 m²,Flat,2021,2,Not present,Not present,Furnished,52.369039353001,4.9489779830538
"€1,850 per month",59 m²,Flat,1938,2,,Not present,Furnished,52.365872944175,4.9078656307861
"€2,400 per month",42 m²,Flat,1735,2,Not present,Not present,Upholstered or furnished,52.370386334751,4.8865255274928
"€2,200 per month",37 m²,Flat,1735,2,Not present,Not present,Upholstered or furnished,52.370386334751,4.8865255274928
"€3,750 per month",123 m²,Flat,1931-1944,5,Present,Not present,Upholstered,52.341604856268,4.9031531265021
"€4,700 per month",185 m²,Flat,2019,3,Not present,Not present,Furnished,52.360281819079,4.8947293234558
"€2,900 per month",80 m²,Flat,1994,3,Present,Not present,Upholstered,52.382845280034,4.8848720140424
"€2,995 per month",115 m²,Flat,1924,4,Present,,Furnished,52.353199701091,4.9258215674652
"€1,975 per month",55 m²,Flat,1939,3,Not present,Not present,Upholstered,52.377502593994,4.8551491952309
"€2,500 per month",80 m²,Flat,1912,3,Present,Not present,Upholstered,52.373628603473,4.8591018215018
"€2,100 per month",80 m²,Flat,1965,4,Present,,Upholstered,52.37183486352,4.8305036499914
"€2,150 per month",60 m²,Flat,1725,2,Not present,,Furnished,52.37002060021,4.8957656167704
